label,question
0,만물이 생동하는 봄이 왔습니다만 아직 겨울 끝자락의 매서움이 봄바람에 묻어나는 3월입니다.
0,왠지 좋은 인연을 만날 수 잇을 것 같은 사랑하고 싶은 계절 봄입니다.
0,신록의 푸르름에서 생동감을 느낄 수 있는 완연한 봄이 왔습니다.
0,벚꽃 만발한 거리를 걷다보면 꼭 저에게도 꽃내음이 묻어날 것 같네요.
0,우윳빛 목련꽃이 눈부시게 아름다운 봄입니다.
0,언제 겨울이었냐는 듯이 하루가 다르게 초록으로 변하는 산과 들의 향연에 눈이 즐거운 계절 봄입니다.
0,오늘 문득 올려다 본 하늘이 파란 물감을 풀어놓은 듯 너무 아름다웠습니다. 여러분들도 오늘 하루만이라도 머리를 들어 꼭 하늘을 바라보세요. 깊어진 봄 기운을 한껏 느끼실 수 있을 겁니다.
0,흩날리는 벚꽃이 가슴 설레게 하는 4월입니다.
0,모든 걸 훌훌 털어버리고 사랑하는 사람과 함께 봄 향기 가득한 곳으로 훌쩍 떠나고픈 4월입니다.
0,무르익어 가는 봄 코 끝을 스치는 라일락 향기가 마음까지 설레게 하는 계절입니다.
0,사랑하는 사람들이 생각나는 계절의 여왕 봄의 중심 5월입니다.
0,늘 곁에서 힘이 되어주고 용기를 심어주는 가족의 소중함을 새삼 깨닫게 해 주는 가정의 달 5월입니다.
0,산천에 피어있는 아카시아 꽃향기가 저물어가는 봄을 시위라도 하듯 진동하고 있는 황홀한 계절의 여왕 5월입니다.
0,시간이 참 빠른 것 같습니다. 해맞이 행사로 00년 새해를 맞이한 게 정말 엊그제 같은데 벌써 봄을 지나 여름을 향해 가고 있습니다.
0,산천 초목들의 녹음이 짙어가는 싱그러운 계절이 왔습니다.
0,시원한 바다 거센 파도 눈부신 햇살이 문득 그리운 계절 여름이 다가왔습니다.
0,젊은 열기가 느껴지는 젊음의 계절 여름입니다.
0,아카시아 꽃향기가 코끝을 간지럽히는 향기로운 6월입니다.
0,뜨거운 태양아래 무르익어가는 여름들녁에서 힘찬 생명력을 느낄 수 있습니다.
0,봄기운을 미처 만끽하기도 전에 벌써 본격적인 더위가 찾아왔습니다.
0,갑자기 무더워진 날씨로 혹여나 000님들 몸과 마음이 지치고 힘드시지 않을까 걱정입니다.
0,생명력 넘치는 나뭇잎들과 함께 어느새 높아진 기온이 여름이 성큼 다가온 것 같습니다.
0,무더위를 식히려는 듯 시원한 빗줄기가 마른 대지를 적셔주는 초여름입니다.
0,푸른 초록의 싱그러움에 삶이 더욱 활기차게 느껴지는 초여름날 오후에 ~~~~ 시간을 갖게 되어
0,뜨거운 태양이 작열하는 열정의 계절 여름입니다.
0,조금만 걸어도 땀이 비오듯 내리는 무더위네요. 시원한 물 한 잔이 더없이 고맙게 느껴지는 요즘입니다.
0,학창시절 친구들과 계곡에서 맘껏 뛰어놀던 추억이 떠오르는 7월입니다.
0,지치기 쉬운 폭염을 이겨내기 위해서는 잠시라도 하던 일을 멈추고 사랑하는 가족 지인들과 함께하는 즐겁고 유쾌한 시간이 꼭 필요합니다. 여름휴가들은 다녀오셨나요?
0,아직 여름휴가를 다녀오지 않으셨다면 남은 기간 알찬 휴가계획 세우셔서 가까운 산과 바다에서 지친 피로를 말끔히 씻어내시길 바랍니다.
0,따갑게 내리쬐는 여름햇살 때문에 좀처럼 열기가 식지 않는 후덥지근한 저녁날씨에도 불구하고 ~~ 많이 참석해 주신 ~~~~ 께 진심으로 감사의 말씀을 전합니다.
0,더운 날씨로 인해 지친 몸과 마음을 푸르른 산과 시원한 바다로 달려가 그동안 지친 피로를 말끔히 씻어 버리고
0,땡볕이 물고 늘어져 힘든 날씨지만 긴 폭염 속에 들려오는 귀뚜라미 노랫소리가 가을을 알리는 것 같습니다.
0,꽃들이 시간을 다투며 아름답고 우아하게 형형색색 자신들의 매력을 뽐내고 있는 아름다운 계절 여름입니다.
0,풍성한 수확의 계절 여유로움과 넉넉한을 주는 10월 가을향기 가득한 이곳 000에서
0,아침저녁으로 불어오는 신선한 바람이 가을이 멀지 않았음을 알려주는 것 같습니다.
0,노오란 은행잎과 진홍색의 단풍잎들이 아름다운 한 폭의 풍경화를 그려내고
0,천혜의 자연 풍광을 품고 있는 산 언저리에는 감탄스러운 만추의 모습이 연출되고 있습니다.
0,여러분들의 가슴에도 가을햇살 같은 즐거움과 풍성한 행복이 가득하길 바래봅니다.
0,지난달까지만 해도 한낮에는 다소 덥던 날씨가 언제 그랬냐는 듯 청명한 가을날씨를 보이고 있습니다.
0,짧은 가을이 깊어가는 시월이 찾아왔습니다.
0,긴 폭염을 밀어내는 선선한 가을바람이 상쾌함을 전해줍니다.
0,귀뚜라미 울음소리와 귓가에 맴도는 매미소리가 떠나가는 여름을 못내 아쉬워하는 것만 같습니다.
0,황금들녁 먹거리 풍성한 가을입니다. 좋은 사람들과 넉넉한 행복을 나누기 좋은 계절입니다.
0,제각기 풍성하고 아름다운 색채를 뽐내던 가로수들이 어느새 앙상한 가지를 드러내고 있는 것을 보면 겨울이 오긴 온 것 같습니다.
0,한 해를 시작하기 위해 분주히 발걸음을 옮긴 지가 엊그제 같은데 벌써 일년을 정리하는 끝자락에 와있습니다.
0,어느새 헐벗은 나뭇가지를 보니 겨울의 중심에 와 있음을 느낄 수 있습니다.
0,모락모락 길거리 따뜻한 호빵의 유혹을 지나치기 힘든 계절이 찾아왔습니다.
0,아침저녁으로 매서운 바람에 옷깃을 여미게 되는 겨울입니다.
0,가족 연인 친구와 함께 올해 마지막 추억을 만들어 가는 12월입니다.
0,어느새 매서운 바람이 가을을 몰아내고 겨울을 가지고 들어 왔네요.
0,한 해를 보내는 아쉬운 마음과 새해를 맞는 설레임이 교차하는 12월입니다.
0,연초에 다짐했던 계획들 잘 정리하고 계신가요? 남은 날들 계획한 모든 일들이 잘 이루어지기를 바랍니다.
0,찬바람 때문에 몸은 잔뜩 움츠려들지만 12월은 연말연시를 맞아 따뜻한 정을 나눌 수 있는 훈훈한 계절임은 확실한 것 같습니다.
0,올해도 한장의 달력만을 남겨두고 있습니다. 열심히 달려온 우리 자신에게 격려와 박수를 보낼 수 있는 12월이 되었으면 합니다.
0,가로를 뒤덮던 낙엽도 어느새 흔적도 없이 사라지고 이제는 그 자리를 소복히 채워 줄 함박눈이 기다려지는 12월입니다.
3,e이비즈 시간표 원래 이런가요?.. 말로만 듣던 우주공강..나는 아닐 줄 알았는데..
3,일신관 지금 들어가계신분 ??
3,자동수강신청이 이렇게 돼있는데 이러면 밥은 어떡하나요..? 바꿀 수 있나요?
3,국제학사 76** 있나요?!
3,음....로아하는사람?
3,애들아 상상유니브 회원가입함?
3,경제원론1/ 심리학개론/ 사회학개론/ 정치학개론 중 택2라고 되어있으면 한 학기에 이 중에서 2개를 들으라는 건가요?
3,아주대 1학년 산공과 수강신청 2/23일날 기초과학만 하면 되는건가??!
3,편입생들 공과생 중에 선수과목 안들어서 전공수강신청 못하고 들을 수 있는 최대학점 빵꾸난 사람들 있어요?
3,이산수학은 시간표에 추가해도 시간이 표시가 안되어있는데 언제 수업하는건가요?
3,광교관 27일 이후에 들어가는 사람 있어?? 나 27일에 가는데 이미 다 친해져있을까봐...ㅠㅠ
3,포털에 조회했을 때 나오는 과목 코드랑 에타에 시간표 넣을 때 나오는 과목이 같은 시간임에도 코드가 다른데 수강신청 할 때는 어떤걸로 해야하나요?
3,경영학우들아 나 좀 도와줘여기에 교양만 신청하면 끝임?
3,환안공 자동 시간표 수금 오후가 많다는데 진짜인가요??
3,수학과 오티 가는 사람~?
3,와.. 나 아주대 간호대 신입생인데 엄마가 스리슬쩍 반수 얘기를 꺼냈다.... 간호대 반수생 많나?
3,기숙사에 가져가려는데 4.5m 멀티탭은 너무 길죠?
3,자동수강신청 아직 안된거죠? 되어있는게 영어2밖에 없네요...
3,국제학사에서 정문밖으류 나갈려면 몇분 걸어야하나요??
3,아주희망 강의 목7 은 언제 강의하는거에요?
3,시간표 아침에 확인했을 때 다 짜져잇엇는데 지금 확인해보니까 텅텅 비어있던데 저만 그런가요?
3,건축 시간표 나왔나요 ?
3,낼 혹시 총장님이랑 사진찍으러 가시는 분??
3,오티하신분들 끝나고 뒤풀이같은것도 했나요?
3,경영 자동수강신청 머야?
3,줌 오티할때 화면 켜?? 화장 할까
3,오티 때 가져가야할거 있나요?
3,오티 때 가져가야할거 있나요?
3,신입생OT에서 좋은 정보들 얻어갈 수 있나요?
3,남자 학우분들은 학교갈때 백팩vs에코백백팩사용하신다면 가죽백팩 사용하시나요?
3,공대 줌오티 있었으..? 나만 몰랐냐
3,과잠 흰색이신 분들은 단과대 학잠 구매하시나요 아니면 과잠 구매하시나요?? 흰 외투를 잘 안 입어서 고민이네요ㅠ
3,과잠에 영어 이니셜 한다면 뭐쓸거야??
3,미터안가도 큰 불이익은 없겠지?
3,공대 정통대 영교는 자연과 과학제외하고 들으면 된다고하는데 만약 자연과 과학영역으로 들으면 그냥 교양으로 학점들어가는 건가요?
3,에이스타 신청하신분?
3,컴퓨팅 사고 vs 컴퓨터와 인간 뭐가 나아?
3,오티때 따로 술자리 안가지나요?
3,오티할때 휴대폰으로 하신 분 있나요?
3,시간표 짜려고 포탈에서 수업계획표 보는 중인데주 2회 강의가 8주에 중간고사를 본다고 하면무슨 요일에 보는건지는 아직 모르는건가요?시간표가 월요일 4연강이라 시험 하루에 겹치면.. ㅋㅎ..
3,전자과 시간표 나만 개망함? 무슨 죄다 1교시 수업인데다가 겹강은 또 왜있는거고 우주공강 개많고 ㅋㅋㅋㅋ 멘탈 갈려 자동배정 죽어..
3,경영애들아 회의암호좀 알수있을까??
3,175 / 60 멸치 남잔데 과잠 L사면 충분하겠지?
3,경영애들아오늘 3시 오티 맞지?아직 링크 안나온거 맞아?
3,영교도 수강신청 빡쎄겠지?
3,경영학과 아직 개인시간표 안나왔지?수강신청 28일에 따로 해야됨?
3,긱사 때문에 신속항원검사 종합병원에서 2만원 내고 했는데 비싸게 한건가? 친구한테 물어보니까 왤캐 비싸게 했냐고 그러던데
3,강독 1
3,2학기에 학점 남을거같아서 sw세미나교육? 이거 들어보려 하는데 학사서비스보니까 1학기에만 동그라미쳐져있는데 작년까지 매년 1
3,전자과 자동수강 신청됐는데 시간이 겹치는 과목이 있어요.. 이건 어떻게 해야하는 건가요?
3,전자 시간표 나왓음???????나 아주희망이랑 융프밖에없는데...
3,소웨분들 21학점 다채워서 들으실건가요??
3,신소재 자동수강신청 아직 안떴죠??
3,간호대학 학생회비 낼건가여..?
3,성호관이랑 팔달관 시간 얼마나 걸려요?
3,수학1 3시간 들어간 사람 있음? 2시간이면 보충반 아닌거지?
3,28일 사과대 미터 갈지 말지 고민중인데 안가면 많이 손해일까요?ㅜㅜ
3,반수할거면 동아리 같은거 안하는게 나음?
3,전자 시간표 나만 이상한거야??? 매일 1교시에 우주공강도 너무 많은데..
3,우리학교 3월15일 이후에는 무조건 다 대면인가요??
3,1.율곡관에서 성호관2.율곡관에서 다산관3.율곡관에서 연암관4.연암관에서 성호관15분안에 이동가능한가요..?
3,미디어 분들 자동신청 말고 뭐하실건가요?? 창의 미디어랑 영교가 추천 픽이던데
3,교양과목으로 테니스 듣는사람도 있나요?
3,지금 해야할게 뭔지 아는사람??아주대 포탈 회원가입도 했고 에타 재학생인증까지도 했는데 진짜 뭐 할꺼 없는거야? 다른 학교 친구들보면 이미 수강신청도 다하고 이러고 있는데 회원가입하고나서 할게 없는거 같아서
3,28일날 긱사 떨어지면 구제방법없나요?? 늦게 발표나는데 구제방법도 없으면 너무 무책임한데..
3,저희 공과가는 길 경사가 얼마나 될까요?원룸잡아서 통학용 전동킥보드 구매하려는데
3,인스타 안하는 사람 있음? 나 인스타 계정도 없는데 학생회 공지같은거 볼때 불편하려나?
3,비대면 2주 이후에 또 비대면하진 않겠지?
3,과목볼때 화B
3,건축 아직 과잠 안정한거 맞죠??
3,자동수강신청 나만 안되어있나..?
3,1학년마치고 군대가는사람들 보통 2학기 시기에 전역하면 엇학기복학해? 아니면 몇개월 놀다가 2~3월쯤 복학해?
3,공대 오티 나만 화질 안 좋아??
3,면허 빨리 딴다고 하면 보통 며칠 걸린다는거야?
3,오티 오류나는게 공대보고 문제고쳐서 알아서 들어오라는 시험맞지?
3,연강인데 수업하는 곳이 거리가 멀면 어떻게 해야함?땡치자마자 바로 수업시작이던데..
3,군대 1-1마치고 8월달쯤 가려는데 전역하면 2월이잖아 그러면 2학기 시작하는 7~9월까지 기다려야됨?
3,클라시쿠스 문이랑 사를 다 들어야지 해를 들을 수 있는건가요?..
3,공대오티 링크 어딨어 ㅠㅠ?
3,생명과학과 아직 시간표 안나온거 맞나요?
3,공대 오티 오늘 시간내에 못들어도 영상 남아있나요??
3,나 기숙사 2차 신청때 신청했는데 아직 아무것도 안나온거 맞지 ??
3,그 개인2동의 하는거 수시 합격이라 이미 통합 ID 만들엇는데 그럼 이제 따로 동의할 필요 없는거지?
3,아니 학번이 원래 바뀌는거야??학번입력했는데 계속 오류나서 학번조회다시했더니 바껴있어 ㅋㅋㅋㅋㅋㅋㅋ
3,1.잎새가 뭐에요? 줄임말인가?2. ot 참여하는데 미리배움터 참여해야 좋나요?
3,기계 오티 어제 들은 분들.. 캠 꺼놔도 되는거였죠??
3,공대 오티 줌 이런 게 아니라 그냥 유튜브 스트리밍 아닌가여?
3,아주대 통합모바일에서 모바일 학생증 받고 체크카드 따로 쓰는거있으면굳이 학생증 발급 신청 안해도되겠지?
3,간호 오티에서 홍재관 규칙 중에 츄리닝 금지 있었는데 이게 무슨 말이야?? 왜 안되는걸까
3,새내기 남자 주량 소주기준 얼마가 평균이야???
3,불문과 오티 때 혹시 교수님이 어떤 책 필요하다고 알려주셨어..?? 나 사정때문에 못가서..ㅜㅜㅜㅜ
3,자동수강신청 25일에나오는거아녓어??26일이야????????
3,기초과목에 4가지 과목중 2가지 선택이라해서 1학년때 1학기 하나 2학기 하나 듣는줄알았는데
3,일신관 여러분 예정대로 요번주 즈음에 들어오실 건가요?
3,입새 가시는 분 있나요?전 경영대에요!
3,소웨인데 최대학점 다 채워서 들으면 3
3,아주희망 자동신청 아니라고 되어있는데 왜 신청 되어있지?? 이유 아는 사람~~ 검색해봐도 안보이네
3,의대 간호대 연합 동아리 신청 받고 읶는 건가요?
3,이정도 살만 해??????
3,나만 뭐 아무거도 안보여??
3,근데 다들 전에 진단평가 보라고 학교에서 문자 왔었어요?난 왜 마지막날 봤는데도 문자 안왔지...?
3,이거 전부 다 자동신청인가요? 아님 따로 수강신청하는 과목이 뭔가요?
3,인문대라 교필에 컴퓨터와 인간이랑 컴퓨팅사고 중에 택1이라고 되어있는데
3,만약 대면이면 혼밥하는 사람 많나요?
3,전공이랑 넣고 싶은 교필 넣었더니 4연강인데 이런 경우 흔한가?
3,권장이수순서와 추천계열에 따른 교과목에 대해졸업이수학점이 120이고
3,전자과 오티 나도 가도 되나? -21학번-
3,나랑 대화하면 왜 항상 사람들이 끝부분에 약간씩 웃을까??왜그러지 왜왜왜
3,경영학과 선배님 혹시 계신가요???1학년으로 입학하는 경영학과 새내기입니다!교내활동 관련해서 질문이 한가지 있는데쪽지로 잠깐 여쭤보고 싶습니다...!!!도와주실 수 있으신 선배님 계실까용..??
3,아주대 근처 수강신청 하기 좋은 피씨방 어디인가요??
3,연암관에서 성호관까지 몇분정도 걸릴까요..?
3,저 경영 c반이고 스무살 새내기 여자인데같은 c반인 새내기 여학우분 계신가요?????다들 같은 과에서 친구 만드셨나용...?직접 대화해보고 친구 사귀는 편이었는데다들 에타 통해서 조금씩 친해지고 있는 것 같아요2주 비대면으로 수업하고 학교에 가면쉽게 친해질 수 있는 시기를 놓칠 것 같아서괜히 걱정되는 마음이에요 (??????????? )만약 c반 학우분 계시다면 저랑 쪽지 하실분 찾습니당!
3,자취하는 사람 에어프라이기 샀니?살거니?싼거 하나 살까
3,신입생인데 수강신청사이트 들어가보니까 아주희망만 등록됬는데
3,신입생은 생물학1
3,저희 여름방학 보통 언제에여?? 대학은 여름방학 길다고 해서 기대중인데 7월쯤이면 보통 방학 시작하나요??
3,저희 여름방학 보통 언제에여?? 대학은 여름방학 길다고 해서 기대중인데 7월쯤이면 보통 방학 시작하나요??
3,국제 공유기 들고가야 되나요?
3,기숙사에 개인킥보드 가져왔는데 학교에 킥보드 충전하는데 있나요?
3,OT = 입학식임?
3,축구 소학회 같은거 들어가서 경기를 한번도 안뛰어도 되나요…? 소학회 하고싶은데 여자라서 경기할 자신은 없어서요ㅠㅠ 축구의 ㅊ도 몰라요..
3,AFC축구많이 잘 해야만 들어갈 수 있나요?? 괜히 가입했다가 한 번도 못뛸거같아서…
3,수업 다 채워봤는데 13학점 나오는거 맞는건가..? 원래 이렇게 적어..?
3,수업이 일주일에 두 번 들었으면예를 들어 월
3,국문은 선배들 많이 오셨어??
3,1학년1학기때는 전공선택 못듣는거에요?대학필수 + 학과필수 + 전공필수 + 전공선택하니까딱 19학점나오네여19학점까지만 들을수있으니
3,근데 왜 자꾸 댓글 단사람은 후에 삭제하는거야?
3,오늘 인문대 미터 애들 이미지 어땠어?? 안가서..
3,비유 적당한지 평가해주세요수강신청안한상태(0차전직)에서1차전직으로 수학전공심화
3,입학식 끝나고 선배한테 감사0 따로 보내면 진짜 부담스러워해? 아까 다른 글에 그냥 하지말라고 해서...
3,화공과인데 추천하거나 괜찮은 수업있나요? 뭐를 해야할지 하나도 모르겠어서ㅠ
3,내일 공대 입학식 비대면 몇시야??
3,소웨로 전과나 복전하고 싶은데 자동수강신청 빼고지금 1학기에 수강신청하면 좋을 수업 뭐가 있을까요?ㅠㅠ
3,자동수강신청 받은것만 시간표에 넣어봤는데
3,통학 한달 용돈 얼마가 적당하다고 생각해?
3,아주대 야구
3,심리학과는 과잠 이야기 없낭..?
3,기계공 시간표 아직 안나왓지?
3,사과대학생인데요 유니브 꼭 가입해야하나요?
3,171에 53이면 과잠 사이즈 L사도 괜찮겠죠??
3,알바 하는 애들 무슨 알바해!@?
3,166에 51 과잠 사이즈 뭐 해야돼…. m이야 l이야..?
3,듣고싶은 전선이랑 겹치면 어째요..?
3,와 시간표 아무리 짜도 너무 ㅈ같은데..?
3,키 172에 60인데 과잠 사이즈 xl 어떨까요??
3,행정학과 잎새가는 사람??
3,님들 교재샀어요??수학1/2교재 사야되는데 님들은 이미 샀는지 궁금해요
3,벌써 과잠사?? 기계도 지금 사나 단톡 안들어가서 잘모르겟넹
3,님들 릴이나 아이코스 피면서 금연할 생각인데 ㄱㅊ??
3,나만 계속 다른 학교 버리고 여기 온게 잘한 선택일까 라고 고민함? 아니 왜 최저를 맞춰서 고민하게 하냐..걍 못맞췄으면 고민안했을텐데
3,보통 여자들 과잠 사이즈 뭐입어??? 키 163인데 좀 박시하게 입는편이거든 L사야하나??
3,12시 Joseph교수님 영어1 수업 줌수업 링크 있나요?
3,12시 영어수업 왜 비비에 아무것도 없지?
3,화학 ㅇㅎㅅ 교수님 혹시 비대면 관련 공지 확인하신분 계시나요? 아주bb에 아무것도 안올라와 있네요 ㅠ...
3,혹시 화학 ㅇㅎㅅ 교수님 줌 링크 확인하신분 있나요? 아이패드라.. bb 줌링크로 안들어가지는데 ㅠㅠ
3,혹시 타학과 전공 들어도 되나요? 제한공지 뜨지 않는걸로
3,혹시 수학1 교재 사신분 계신가요?? 저 아직 안 삿는데 첫시간에 필요 없겟죠..?ㅜㅜ
3,한국고전문학강독 공지 ㅇㄷ?나만안보이나..
3,필립 교수님 오늘 과제 따로 없죠?
3,필립 교수님 다음 수업까지 책 사가는건가요?
3,클라시쿠스 박재연 교수님 듣는사람?
3,컴퓨터프로그래밍및실습오프라인으로 실습할 때 학교 컴으로 해?아니면 개인 노트북 필참해야해?
3,조슈아 교수님왠만하면 종이책 사라고 하신거 맞지?나중에 학교 올 때 전자기기 어쩌구 하셨는데 못들었어 ㅠㅠ
3,이재원 교수님 글쓰기 강의 교재 꼭 사야되나요?
3,오늘 9시 스콧선생님수업 들은사람 중에 과제나 해야할거있어?책은 어떻게하는거야
3,예비신청이 뭐ㅇㅁ?
3,영어학개론 1년이 듣기엔 어려워요??
3,영어1 케빈 교수님 출첵은 어떻게하는건가요? 다들 전자출결했어요? 전 안되던데…
3,영어1 ㅅㅋ교수님 과제 있어ㅠㅠ?
3,영어1 브레드 교수님께서 업로드하신 과제 오늘까지 하는건가요???
3,영어1 ㅂㄹㄷ쌤 숙제어뵤지..?
3,영어1 도날드교수님 교재 선배한테 말고 새로 사라는 말씀임? 하 못 알아듣겠다...
3,영어1 ㄴㅋㄹㅅ 교수님꺼 과제 중에 자기소개같은거 쓰는 과제도 형식 맞춰서 써야되나요??
3,영어 1 Kevin 교수님 교재 world English 2 교재 따로 준비해가면 되는건가요?
3,에타 강평에 올라와있는 중고 교재랑 교수님이 가져오라는 교재랑 다르면 중고말고 새거 사는게 맞는거죵
3,아주희망은 원래 시간표에 안 뜨나여??학사서비스에서 보면 수강신청내역에 있고 아주 BB에도 있던데 시간표에 없으니까 들어야 되는건지 모르겠네요
3,아주희망 신청 잘못해서 방금 다시했는데아주bb에 코스 바뀌기까진 시간 좀 걸리겠지?
3,아주인성 이재원교수님 강의들으시는 분들 무슨과세요?
3,아주강좌 무슨 학과 홈페이지에서 공지확인하라는데 학과 홈페이지가 어디야???
3,ㅇㅈㅎ 글쓰기 비대면으로 진단평가치나요?
3,생물다양성과 진화 영교 어떤가요 ??
3,생명과학과 확인해보니까 비대면 때 필요한 교재는 파일 다운로드하게 되어있던데 그 이외에 따로 구매해야 하는 것이 있을까요??
3,빌넣 하려고 하는데 교수님 메일 어디서 볼 수 있어???ㅠㅠㅠㅠ
3,브레드 영어 교수님 교재나 준비물 있었나요??
3,브래드교수님 자료 올려놓으신거수업때 컴퓨터로 작성하면서 수업듣는거야아니면 탭이나 종이로 뽑아놔야해..?그리고 녹강은 어떻게 들어?
3,ㅂㄹㄷ교수님 교재third edition은 2019년 출판이던데강의 계획서에는 2015년이라고 적혀 있는데 수정을 안하신거겠죠 …?
3,물리학1은 실시간 수업 ㅇㅇ물리학실험은 X이거 맞지..??
3,ㄴㅋㄹㅅ교수님 영어1 줌수업이야 아니면 동영상강의임?
3,ㄴㅋㄹㅅ 교수님 녹강 다 들어야 하나? 그냥 워드에 있는거 설명해주시는 것 같은데
3,글쓰기 ㄱㅎㄱ 교수님 오늘 할 과제 없지??
3,교육평가 어때요?? 단지 학점 채울라고 신청했는데.. 과제많은가요
3,공공관계론 1학년 행정학과 학생이 듣기에 괜찮나요??
3,고급영어 2 ㅁㅅㅈ교수님 캠 켜야되는데 얼굴 보여줘야됨 ?
3,경제학과 1학기때 경제수학 대신 거시경제학 들어도 되나요??
3,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=189673530영어1 브래드교수님 수업듣는데 교재 이거 맞아????
3,환안공은 강의중에 대면수업 있나요??
3,환공인데 자동수강신청 이거 28일에 따로 수강신청할 필요 없는건가....?
3,화학공학과 22학번 신입생이에요 ??너도 아주희망밖에 안뜨다가 구글에 들어가서 아주대 수강신청 검색하고 들어가서 로그인 했더니 떴어요! 하지만 원래 공식 입장은 내일이었으니 우리 내일까지는 안떠도 기다려 보아요 ㅎㅎ 저희과는 19학점 중 15학점이 자동수강신청이라 이렇게 짜였는게 어떤가요? 월요일에 첫교시와 마지막 교시를 듣게되어 너무 기쁜 나머지 벽을 부쉈습니다 ㅎㅎ 어디에 무슨 과목을 들을지 추천해줘요 ~??
3,화학 황은경교수님 수업 줌링크 받은사람있어 ...?
3,화학 ㅇㅎㅅ 수업 안해??
3,화학 ㄹㅇ 줌도 없고 공지사항도 없었으니까 그냥 이번 시간에 놀아도 되는거지...? 녹강이라고 하셨으니까 나 이제 진짜 아주 bb 새로고침도 그만하고 포기한다??? 그래도 되는거지...??
3,화학
3,화실 첫째주 휴강 둘째주 비대면 셋째주 대면 맞나요?
3,화면에 아무것도 안뜨는데 10시에 새로고침 누르면 수간신청화면 뜨나요?
3,화공과인데 지금 아주희망만 들어가 있는게 맞는거야?
3,화공과이신 분들 다들 몇학점이신가요?15학점이신 분들 많나요?아니시면 교양 어떤거 주로 하시나요?
3,혹시 위스키나 와인 좋아하는 새내기 없늬... 우리학교 얼마 안떨어진 곳에 와인앤모어 광교점 있던데 ㅎ.. 내가 양주 좋아해서 담주에 같이 구경갈사람..?
3,혹시 여기 온 애들중에 교과 어느정도 대로 옴? 물론 공대만
3,혹시 수학 1 전산오류로 3시간 수업이었다가 2시간으로 정정된 사람들 아주bb에는 언제 업데이트 될까...?
3,혹시 수업할 때 여기로 들어가면 되나요..?
3,혹시 기업가 정신과 경영 회계학원론 수업듣는 경영친구들 중에 아직 시간표 덜 짠 친구 있니? 나랑 같이 짜 볼 친구 있어?ㅠ
3,혹시 경제학과 시간푠데 봐주라… 저기 정치학개론은 무조건 들어야하는 거야…? 요람에 있길래….
3,행정통계 못 잡은 사람 있음 ??
3,행정 전필 주수강대상이 2학년인데 1학년이 들어도 괜찮나요?
